Weblink_to_slide_at_NHMUK_Data_Portal,IRN,ZF_PF_no.,Slide_square_no.,Genus,cf.,Species,Sub_species,Notes_on_slides,Geologic_time,Grade,No_of_individuals,Observations_M.C.Rillo.2015,Buckley_Slide_SL_no.,Former_Museum_no.,IRN_Residue_OBD,Vessel,Station_no.,Collection_date,Collection_info,Sea_Depth_meters_NOAA,Sea_Depth_meters,Sea_Depth_fathoms,Sea_Depth_feet,Tow,Sample_depth_min_cm,Sample_depth_max_cm,Lat.decimal,Long.decimal,Lat.degrees,Lat.minutes,Lat.seconds,Lat.N.S,Long.degrees,Long.minutes,Long.seconds,Long.W.E,Ocean_Sea
http://data.nhm.ac.uk/object/e3d05825-18d8-4bd1-be24-2c6d2300a37f,5271495,5789,,Globorotalia,,menardii,,,,,6,,987,"1965,O208",17163,RV Argo,A 185-7,NA,,-2910,2470,1351,8106,0,151,152,21.11667,-72.85,21,7,0,N,72,51,0,W,Atlantic ocean near islands
http://data.nhm.ac.uk/object/917e8feb-d1e0-4a97-afc9-45b4b126b6e6,5271496,5790,,Globorotalia,,tumida,,,,,6,,82,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,-2712,2770,1515,9090,0,5,9,-9.88333,-110.68333,9,53,0,S,110,41,0,W,Pacific ocean
http://data.nhm.ac.uk/object/42cb1352-ed86-4169-ad3c-69a7aa3f531f,5271497,5791,,Globorotalia,,tumida,,,,,9,Cap = Capricorn,96,,16642,RV Horizon,Cap HG 40,02/02/53,,-3641,3550,1941,11646,0,1,4,-15.21833,-117.50667,15,13,6,S,117,30,24,W,Pacific ocean
http://data.nhm.ac.uk/object/ec02de56-95da-4c8e-98dd-6990046f79c5,5271498,5792,,Globorotalia,,tumida,,,,,8,,114,M.408,34991,HMS Challenger,338,21/03/1876,,-3740,3639,1990,11940,0,,,-21.25,-14.03333,21,15,0,S,14,2,0,W,Atlantic ocean
http://data.nhm.ac.uk/object/cd9e761d-0779-4ffd-8924-8b49cfff3aac,5271499,5793,,Globorotalia,,tumida,,,,,13,,148,"1,963,916",16640,RV Horizon,Cap HG 37,31/01/53,,-3456,3850,2105,12630,0,4,8,-13.09167,-124.28,13,5,30,S,124,16,48,W,Pacific ocean
http://data.nhm.ac.uk/object/c3519cfc-c748-4f32-9c47-198cb4ff5973,5271501,5794,,Globorotalia,,tumida,,,,,17,,175,,16645,RV Spencer F. Baird,DWBG 11,31/10/57,,-3415,4155,2272,13632,0,7,10,5.43333,-131.31667,5,26,0,N,131,19,0,W,Pacific ocean
http://data.nhm.ac.uk/object/18ecb687-e4e2-4573-9342-657570c68e3e,5271502,5795,,Globorotalia,,tumida,,,,,1,,272,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,-2819,3320,1815,10890,0,10,14,-27.15,-109.83333,27,9,0,S,109,50,0,W,Pacific ocean
http://data.nhm.ac.uk/object/b41a4729-c8d9-4d75-86dd-2ea0da411caf,5271503,5796,,Globorotalia,,menardii - tumida,,,,,18,,281,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,Gravity corer,-3034,3120,1706,10236,0,12,15,-14.73333,-112.1,14,44,0,S,112,6,0,W,Pacific ocean
http://data.nhm.ac.uk/object/1a79ba1b-eb0a-420f-b517-25f67c4797b3,5271504,5797,,Globorotalia,,tumida,,,,,4,,308,,16657,RV Argo,MSN 53 G,05/12/60,,-2810,3658,2000,12000,0,4,9,-16.41667,66.03333,16,25,0,S,66,2,0,E,Indian ocean
http://data.nhm.ac.uk/object/d16280e5-898b-49aa-93fb-654a1a42ca13,5271505,5798,,Globorotalia,,tumida,,,,+250 mu,9,,348,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,-4346,4042,2210,13260,0,4,5.5,7.19333,63.0425,7,11,36,N,63,2,33,E,Indian ocean
