"lat","long","Sample_depth_min_cm","Sample_depth_max_cm","sample_type","Sea_Depth_meters_NOAA","Ocean","OBD_IRN","adamsi","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","digitata","dutertrei","falconensis","hexagona","hirsuta","humilis","inflata","menardii","obliquiloculata","pachyderma","quinqueloba","ruber","rubescens","sacculifera","scitula","siphonifera","tenellus","trilobus","truncatulinoides","tumida","universa","glutinata","iota","nitida","pelagica","uvula","various","ssp_richness","total_idind","total_ind"
35.68333,-4.08333,"40","40","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"80","80","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"160","160","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"240","240","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"340","340","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"400","400","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"420","420","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"440","440","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
35.68333,-4.08333,"520","520","deep_core",-1500,"Mediterranean sea",NA,0,152,0,0,0,0,0,0,0,0,0,0,0,121,0,0,173,0,123,0,41,0,0,0,0,0,0,35,0,0,0,0,0,369,6,645,1014
36.543,13.092,"5","6","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"8","10","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"12","13","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"16.5","17.5","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"20","21","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"24","26","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"30","31","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"35.5","36.5","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"40","42","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"44","45","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"50","52","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"58","60","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"63","64","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
36.543,13.092,"67","68","deep_core",-1620,"Mediterranean sea",14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,988
13.221083,-59.555147,"land","land","land",255,"Bissex Hill, Barbados",NA,0,0,0,0,0,0,7,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,253,4,23,276
15.217,145.767,"land","land","land",23,"Saipan Island limestone",17204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17
