"lat","long","lat_deg","lat_min","lat_sec","lat_N_S","long_deg","long_min","long_sec","long_W_E","tow","sample_depth_min","sample_depth_max","sample_type","buckley_sea_depth","NOAA_sea_depth","Diff_Buckley_NOAA","Ocean","OBD_IRN","acostaensis","adamsi","altispira","anfracta","bollii","bulloides","calida","conglobatus","conglomerata","crassaformis","dehiscens","decoraperta","digitata","dutertrei","falconensis","fohsi","glomerosa","glutinata","hexagona","hirsuta","humerosa","humilis","inflata","iota","insueta","mayeri","menardii","minuta","mitra","multicamerata","nepenthes","nitida","obliquiloculata","obliquus","pachyderma","pelagica","praepumilio","primalis","pseudofoliata","pumilio","punctulata","quinqueloba","ruber","rubescens","sacculifera","scitula","seminulina","siphonifera","spectabilis","subdehiscens","tenellus","tosaensis","trilobus","truncatulinoides","tumida","universa","uvula","venezuelana","various","ssp_richness","total_idind","total_ind"
-9.75,-34.4,9,45,0,"S",34,24,0,"W",0,"core = 3","core = 3","many_cores","3380",-4123,-743,"Atlantic ocean near Brazil",17359,0,0,40,0,0,14,0,35,0,0,7,0,5,6,0,0,0,19,0,16,0,0,0,0,0,0,77,0,0,0,0,35,7,0,0,0,0,0,0,0,10,0,33,18,47,0,0,40,0,0,11,0,0,17,13,5,0,18,161,21,473,634
21.11667,-72.85,21,7,0,"N",72,51,0,"W",0,"core = 3","core = 3","many_cores","2470",-2910,-440,"Atlantic ocean near islands",17163,0,0,25,0,0,25,0,35,0,21,50,0,1,34,0,0,0,15,0,23,0,0,0,0,0,0,30,0,0,0,9,23,25,0,0,0,0,0,0,0,0,0,64,0,61,0,0,54,0,0,14,0,0,23,0,3,0,0,75,19,535,610
-15.21833,-117.50667,15,13,6,"S",117,30,24,"W",0,"1","4","top_core","3550",-3641,-91,"Pacific ocean",16642,0,0,0,0,0,0,0,6,7,4,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,4,0,11,0,0,6,0,0,0,0,0,0,9,0,0,0,0,11,77,77
-27.15,-109.83333,27,9,0,"S",109,50,0,"W",0,"10","14","top_core","3320",-2819,501,"Pacific ocean",16652,0,0,0,0,0,0,0,20,0,17,0,0,4,0,3,0,0,13,3,0,0,6,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,12,10,13,0,0,8,0,0,15,0,0,8,1,0,0,0,0,17,153,153
-20.95,-175.23333,20,57,0,"S",175,14,0,"W",0,"no_info","no_info","no_info","869",-124,745,"Pacific ocean near Tonga island",17273,0,1,0,0,0,0,0,15,0,9,0,0,4,3,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,6,10,2,0,8,0,0,11,0,0,2,3,3,0,0,17,17,110,127
-7.6,5.41667,7,36,0,"S",5,25,0,"E",1,"tow","tow","tow","",-5067,NA,"Atlantic ocean",18575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,9,9
-8.61667,79.56667,8,37,0,"S",79,34,0,"E",1,"tow","tow","tow","0-250",-5228,NA,"Indian ocean",18719,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,63,0,0,16,0,0,0,0,0,0,1,5,0,0,5,8,134,139
-18.35,62.06667,18,21,0,"S",62,4,0,"E",0,"core = 3","core = 3","many_cores","3398",-3407,-9,"Indian ocean",18483,0,0,0,0,0,0,6,18,0,62,19,0,1,26,11,0,0,8,2,0,29,12,2,0,0,0,23,0,0,0,0,1,27,0,3,0,22,17,8,0,0,0,18,6,0,2,0,5,0,0,0,0,0,0,13,15,1,0,58,26,357,415
-18.38333,113.36667,18,23,0,"S",113,22,0,"E",1,"tow","tow","tow","50",-1590,NA,"Indian ocean",18595,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,7,0,0,0,9,39,39
-26.08333,111.6,26,5,0,"S",111,36,0,"E",1,"tow","tow","tow","50",-1056,NA,"Indian ocean",18598,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,16,16
-14.26667,-119.18333,14,16,0,"S",119,11,0,"W",0,"core = 8","core = 8","many_cores","3400",-3735,-335,"Pacific ocean",18529,5,0,21,0,14,0,0,16,0,9,10,12,2,16,0,0,0,0,11,0,10,0,0,0,0,0,21,0,0,31,4,3,0,9,0,0,0,24,24,0,0,6,17,0,19,2,13,11,7,16,0,0,0,3,14,7,0,52,369,30,409,778
