IRN,PF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5562008,71354,,Globoquadrina,,"altispira, hexagona,inflata, hirsuta",,,Pleistocene Gunz,,8,,,826,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,Sample depth: 555-558?,,,3795,2075,,55-58,55,58,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5562009,71355,,various,,,,,Pliocene,,44,,,846,"1965,O40",17371,RV Vema,V 16-21,09/11/59,,,,,3795,2075,,405-408,405,408,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5562010,71356,,Globoquadrina,,altispira,,alt. (?),Pliocene,,40,,,917,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5562011,71357,,Globoquadrina,,altispira cf. globosa,,,Pliocene,,5,,,918,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,,,,3380,1848,,400-403,400,403,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5562012,71358,,Globoquadrina,,altispira,,,,,25,,,1016,"1965,O208",17163,RV Argo,A 185-7,,,,,,2470,1351,,421-422,421,422,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5562013,71359,,Globoquadrina,,altispira,,,U. Miocene,,17,,,1120,"1966,O57",18031,J.O.I.D.E.S. /  MV Caldrill,Core J-3 52 Blake Plateau,03/05/65,,,,,,,,,,,28,30,0,N,77,31,0,W,28.5,-77.51667,Atlantic ocean near coast
5562014,71360,,Globoquadrina,,altispira,,Cashman & Jarvis,Zone N19,,5,,,1279,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562015,71361,,Globoquadrina,,altispira,,,Lower N19,,6,,,1467,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562016,71362,,Globoquadrina,,altispira,,,N19 top ,,2,,,1582,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562017,71363,,Globoquadrina,,altispira,,,N21,,8,,,1587,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562018,71364,,Pulleniatina,,spectabilis,,Paratypes; Parker,,,4,,,,"1966,O44",18019, RV Horizon,LSDH 78 P,,,,,,3208,1754,,150-153,150,153,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5562019,71365,,Pulleniatina,,spectabilis,,,N19 top ,,7,,,1579,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562020,71366,,Pulleniatina,,spectabilis,,,Zone N19,,16,,,1611,"1968,O394",18542,RV Horizon,LSDH 78 P,13/01/63,,,,,3208,1754,,103-105,103,105,4,31,0,S,168,2,0,E,-4.517,168.033,Pacific ocean
5562021,71367,,Pulleniatina,,primalis,,,Zone N20,,17,,,1181,"1968,O243",18484,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,,3398,1858,,251-254,251,254,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5562022,71368,,Pulleniatina,,"obliquiloculata, primalis",,,N21,,19,,,1589,"1968,O378",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,488-490,488,490,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5562023,71369,,Pulleniatina,,primalis,,Barnes & Blow,Zone N19,,7,,,1273,"1968,O381",18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,,3400,1859,,575-578,575,578,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
